月,实际品牌,产品,是否旗舰店,进入时间,销量(件),均价(元),匹数,机型,冷暖型和单冷型,新风功能,是否为省电型,滞后三期铜价,市场月活
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,1600,2549.2,大 1.5 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,684,5863.7,正 3 匹,0,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,687,5798,正 1 匹,1,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,793,5013.8,正 2 匹,0,1,0,1,11790.96,591500000
202603,奥克斯 Aux,奥克斯 Aux-奥克斯空调京东自营旗舰店,0,0,1946,1997,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调旗舰店,0,0,1887,2039.1,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调京东自营官方旗舰店,0,0,606,6099,正 3 匹,1,1,0,0,11790.96,591500000
202603,奥克斯 Aux,奥克斯 Aux-奥克斯空调智选旗舰店,0,0,1249,2849,大 3 匹,1,1,0,1,11790.96,591500000
202603,统帅 Leader,统帅 Leader-海尔京东自营旗舰店,0,0,913,3849,正 3 匹,1,1,0,1,11790.96,591500000
202603,康佳 Konka,康佳 Konka-康佳京东自营旗舰店,0,0,1464,2399,大 2 匹,1,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,472,7393.7,正 3 匹,1,1,0,0,11790.96,591500000
202603,Tcl,Tcl-TCL京东自营旗舰店,0,0,1126,3099,大 2 匹,1,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,1290,2699,正 2 匹,0,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,1332,2598,正 2 匹,0,1,0,1,11790.96,591500000
202603,Tcl,Tcl-TCL京东自营旗舰店,0,0,796,4299,大 3 匹,1,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-京东家电自营旗舰店,0,0,1855,1799,正 1 匹,0,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,645,5139,大 3 匹,1,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,1943,1699.3,大 1 匹,0,1,0,1,11790.96,591500000
202603,海尔 Haier,海尔 Haier-海尔京东自营旗舰店,0,0,1930,1698,正 1 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,831,3894,正 1.5 匹,0,1,1,0,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,828,3899,正 2 匹,1,0,0,1,11790.96,591500000
